date,symbol,open,high,low,close,adjclose,volume,dividend,split,data_source,company_name,exchange,currency,instrument_type,market_cap_latest,trailing_pe_latest,forward_pe_latest,fifty_two_week_high_latest,fifty_two_week_low_latest,event_count,event_titles,event_summaries,event_publishers,event_links,event_source_types,external_event_count,generated_event_count,has_external_text,keywords,amount,amplitude_pct,change_pct,change,turnover_pct
2024-05-16,002475.SZ,30.541,31.391,30.301,31.101,31.101,1017640.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-17,002475.SZ,30.881,31.291,30.741,30.981,30.981,525859.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-18,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-19,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-20,002475.SZ,30.761,31.341,30.651,30.961,30.961,475298.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-21,002475.SZ,30.841,31.631,30.681,31.211,31.211,578895.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-22,002475.SZ,31.141,32.341,31.041,32.201,32.201,842653.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-23,002475.SZ,31.941,32.291,31.551,31.851,31.851,495721.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-24,002475.SZ,31.701,32.191,30.741,30.851,30.851,810327.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-25,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-26,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-27,002475.SZ,31.151,31.771,30.821,31.231,31.231,557846.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-28,002475.SZ,31.091,31.101,30.341,30.451,30.451,616102.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-29,002475.SZ,30.611,30.831,30.131,30.521,30.521,431613.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-30,002475.SZ,30.361,32.091,30.171,31.601,31.601,772733.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-05-31,002475.SZ,31.541,32.081,31.041,31.131,31.131,566361.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-01,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-02,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-03,002475.SZ,30.981,32.441,30.951,31.851,31.851,829834.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-04,002475.SZ,31.741,32.191,31.491,32.071,32.071,484441.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-05,002475.SZ,31.921,32.831,31.841,32.221,32.221,695648.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-06,002475.SZ,32.541,33.091,32.331,32.441,32.441,686927.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-07,002475.SZ,32.401,32.441,31.191,31.541,31.541,777338.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-08,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-09,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-10,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-11,002475.SZ,30.341,31.281,30.221,31.121,31.121,673572.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-12,002475.SZ,32.921,33.341,32.531,32.761,32.761,1309099.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-13,002475.SZ,33.291,33.721,32.381,32.571,32.571,893483.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-14,002475.SZ,32.541,34.031,32.501,33.691,33.691,1017630.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-15,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-16,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-17,002475.SZ,33.891,37.041,33.771,36.341,36.341,1616777.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-18,002475.SZ,37.111,37.621,36.161,37.331,37.331,1607076.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-19,002475.SZ,37.211,37.841,36.741,37.411,37.411,969464.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-20,002475.SZ,37.241,37.711,36.491,36.601,36.601,780781.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-21,002475.SZ,36.001,37.341,35.911,37.061,37.061,670559.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-22,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-23,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-24,002475.SZ,36.891,38.271,36.821,37.221,37.221,1038281.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-25,002475.SZ,36.861,37.181,36.131,36.501,36.501,829362.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-26,002475.SZ,36.591,37.841,36.551,37.541,37.541,790073.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-27,002475.SZ,37.441,39.561,37.351,38.191,38.191,1248712.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-28,002475.SZ,37.841,39.211,37.591,38.651,38.651,933749.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-29,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-06-30,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-01,002475.SZ,38.541,38.841,37.271,38.251,38.251,665489.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-02,002475.SZ,38.831,39.201,38.161,38.431,38.431,690653.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-03,002475.SZ,38.431,39.121,37.961,38.231,38.231,526073.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-04,002475.SZ,38.221,38.901,38.021,38.201,38.201,547281.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-05,002475.SZ,38.341,38.401,37.231,38.071,38.071,673566.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-06,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-07,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-08,002475.SZ,38.091,39.001,37.841,38.711,38.711,782297.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-09,002475.SZ,38.711,40.951,38.401,40.731,40.731,1142994.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-10,002475.SZ,40.731,41.071,40.161,40.421,40.421,748753.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-11,002475.SZ,40.69,42.58,40.23,41.42,41.42,1052494.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-12,002475.SZ,40.04,40.93,39.83,40.56,40.56,680893.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-13,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-14,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-15,002475.SZ,40.7,41.02,39.99,40.63,40.63,474745.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-16,002475.SZ,40.97,42.94,40.94,42.81,42.81,911656.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-17,002475.SZ,42.64,42.81,41.14,41.69,41.69,707182.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-18,002475.SZ,40.52,41.25,39.28,40.59,40.59,1040685.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-19,002475.SZ,39.36,40.6,39.33,39.79,39.79,918003.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-20,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-21,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-22,002475.SZ,39.7,39.7,38.27,39.36,39.36,837781.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-23,002475.SZ,39.38,39.52,37.92,38.07,38.07,703560.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-24,002475.SZ,38.04,38.54,37.05,37.52,37.52,701532.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-25,002475.SZ,36.94,37.4,35.76,36.73,36.73,761516.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-26,002475.SZ,36.51,37.74,36.24,37.56,37.56,734279.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-27,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-28,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-29,002475.SZ,37.56,39.02,37.08,38.02,38.02,740614.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-30,002475.SZ,37.78,38.01,36.77,37.1,37.1,595108.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-07-31,002475.SZ,37.04,38.14,36.86,37.87,37.87,771015.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-01,002475.SZ,38.63,38.74,37.44,37.47,37.47,501571.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-02,002475.SZ,36.74,37.92,36.64,36.83,36.83,503031.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-03,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-04,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-05,002475.SZ,34.64,35.67,33.98,34.15,34.15,1310978.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-06,002475.SZ,35.14,35.61,34.47,35.03,35.03,600476.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-07,002475.SZ,34.84,35.29,34.48,34.72,34.72,333975.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-08,002475.SZ,34.55,35.63,34.05,35.16,35.16,507702.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-09,002475.SZ,35.5,36.52,35.43,35.97,35.97,528991.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-10,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-11,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-12,002475.SZ,35.84,36.6,35.72,36.07,36.07,323365.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-13,002475.SZ,35.94,36.96,35.94,36.64,36.64,381241.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-14,002475.SZ,36.63,36.95,36.04,36.21,36.21,292338.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-15,002475.SZ,36.07,37.08,36.01,36.35,36.35,448947.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-16,002475.SZ,36.6,37.08,36.51,36.68,36.68,385970.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-17,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-18,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-19,002475.SZ,37.1,37.4,36.24,36.36,36.36,356624.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-20,002475.SZ,36.34,36.73,36.02,36.27,36.27,288549.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-21,002475.SZ,35.95,37.97,35.84,37.04,37.04,579365.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-22,002475.SZ,37.24,37.7,36.34,37.44,37.44,511122.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-23,002475.SZ,37.17,37.58,36.9,37.53,37.53,340666.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-24,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-25,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-26,002475.SZ,37.56,37.64,36.16,36.99,36.99,713162.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-27,002475.SZ,36.68,37.12,36.09,36.18,36.18,439291.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-28,002475.SZ,36.14,36.86,35.99,36.24,36.24,361179.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-29,002475.SZ,36.14,37.24,35.24,36.87,36.87,507891.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-30,002475.SZ,36.7,39.74,36.7,39.06,39.06,1104549.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-08-31,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-01,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-02,002475.SZ,38.86,39.02,37.84,38.19,38.19,554869.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-03,002475.SZ,37.98,38.8,37.8,38.27,38.27,371640.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-04,002475.SZ,37.44,37.64,36.14,37.48,37.48,651365.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-05,002475.SZ,37.19,37.58,36.64,36.87,36.87,483297.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-06,002475.SZ,36.85,36.87,35.54,35.54,35.54,542166.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-07,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-08,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-09,002475.SZ,35.44,36.18,35.26,35.53,35.53,445378.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-10,002475.SZ,35.32,36.52,34.74,36.15,36.15,512348.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-11,002475.SZ,36.02,36.32,35.45,35.78,35.78,316465.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-12,002475.SZ,35.85,36.42,35.45,36.13,36.13,375116.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-13,002475.SZ,36.12,37.52,35.97,36.79,36.79,483313.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-14,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-15,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-16,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-17,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-18,002475.SZ,36.24,36.44,34.48,35.54,35.54,617626.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-19,002475.SZ,35.55,35.8,35.09,35.42,35.42,441887.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-20,002475.SZ,35.8,36.63,35.66,36.24,36.24,604534.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-21,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-22,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-23,002475.SZ,35.8,37.06,35.66,36.12,36.12,313803.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-24,002475.SZ,36.64,38.43,35.93,38.41,38.41,712381.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-25,002475.SZ,38.97,39.33,37.92,38.1,38.1,678746.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-26,002475.SZ,38.04,38.34,36.99,38.06,38.06,1003994.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-27,002475.SZ,38.07,40.83,38.04,40.12,40.12,1205144.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-28,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-29,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-09-30,002475.SZ,41.64,43.59,40.65,43.1,43.1,1604892.0,,,tencent,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-10-01,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
2024-10-02,002475.SZ,,,,,,,,,,立讯精密,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,,,,,,
