date,symbol,open,high,low,close,adjclose,volume,dividend,split,data_source,company_name,exchange,currency,instrument_type,market_cap_latest,trailing_pe_latest,forward_pe_latest,fifty_two_week_high_latest,fifty_two_week_low_latest,event_count,event_titles,event_summaries,event_publishers,event_links,keywords
2021-01-31,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-01,600519.SS,1915.79,1945.79,1880.79,1895.11,1895.11,29341.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-01 日行情文本摘要,2021-02-01，600519A股交易日行情记录；开盘价1915.79；最高价1945.79；最低价1880.79；收盘价1895.11；成交量29341；按开盘价计算当日下跌1.08%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-02,600519.SS,1898.01,1935.78,1887.89,1930.79,1930.79,34582.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-02 日行情文本摘要,2021-02-02，600519A股交易日行情记录；开盘价1898.01；最高价1935.78；最低价1887.89；收盘价1930.79；成交量34582；按开盘价计算当日上涨1.73%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-03,600519.SS,1935.79,1984.06,1925.79,1975.7,1975.7,38714.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-03 日行情文本摘要,2021-02-03，600519A股交易日行情记录；开盘价1935.79；最高价1984.06；最低价1925.79；收盘价1975.7；成交量38714；按开盘价计算当日上涨2.06%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-04,600519.SS,1976.79,2115.79,1976.79,2106.64,2106.64,63851.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-04 日行情文本摘要,2021-02-04，600519A股交易日行情记录；开盘价1976.79；最高价2115.79；最低价1976.79；收盘价2106.64；成交量63851；按开盘价计算当日上涨6.57%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-05,600519.SS,2110.79,2150.39,2076.79,2098.79,2098.79,39729.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-05 日行情文本摘要,2021-02-05，600519A股交易日行情记录；开盘价2110.79；最高价2150.39；最低价2076.79；收盘价2098.79；成交量39729；按开盘价计算当日下跌0.57%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-06,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-07,600519.SS,,,,,,,,,,600519,SSE,CNY,EQUITY,,,,,,0,,,,,
2021-02-08,600519.SS,2122.79,2164.67,2098.79,2154.59,2154.59,35786.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-08 日行情文本摘要,2021-02-08，600519A股交易日行情记录；开盘价2122.79；最高价2164.67；最低价2098.79；收盘价2154.59；成交量35786；按开盘价计算当日上涨1.50%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
2021-02-09,600519.SS,2154.59,2242.22,2135.79,2242.22,2242.22,33297.0,,,tencent,600519,SSE,CNY,EQUITY,,,,,,1,600519 2021-02-09 日行情文本摘要,2021-02-09，600519A股交易日行情记录；开盘价2154.59；最高价2242.22；最低价2135.79；收盘价2242.22；成交量33297；按开盘价计算当日上涨4.07%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段
