date,symbol,open,high,low,close,adjclose,volume,dividend,split,data_source,company_name,exchange,currency,instrument_type,market_cap_latest,trailing_pe_latest,forward_pe_latest,fifty_two_week_high_latest,fifty_two_week_low_latest,event_count,event_titles,event_summaries,event_publishers,event_links,keywords,event_source_types,external_event_count,generated_event_count,has_external_text
2020-01-12,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-13,000625.SZ,4.998,5.267,4.981,5.267,5.267,442943.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-13 日行情文本摘要,2020-01-13，000625A股交易日行情记录；开盘价5；最高价5.27；最低价4.98；收盘价5.27；成交量442943；按开盘价计算当日上涨5.38%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-14,000625.SZ,5.322,5.344,4.707,4.866,4.866,823564.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-14 日行情文本摘要,2020-01-14，000625A股交易日行情记录；开盘价5.32；最高价5.34；最低价4.71；收盘价4.87；成交量823564；按开盘价计算当日下跌8.57%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-15,000625.SZ,4.883,4.976,4.745,4.899,4.899,452068.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-15 日行情文本摘要,2020-01-15，000625A股交易日行情记录；开盘价4.88；最高价4.98；最低价4.75；收盘价4.9；成交量452068；按开盘价计算当日上涨0.33%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-16,000625.SZ,4.883,4.932,4.773,4.888,4.888,274749.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-16 日行情文本摘要,2020-01-16，000625A股交易日行情记录；开盘价4.88；最高价4.93；最低价4.77；收盘价4.89；成交量274749；按开盘价计算当日上涨0.10%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-17,000625.SZ,4.844,4.899,4.63,4.718,4.718,557462.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-17 日行情文本摘要,2020-01-17，000625A股交易日行情记录；开盘价4.84；最高价4.9；最低价4.63；收盘价4.72；成交量557462；按开盘价计算当日下跌2.60%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-18,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-19,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-20,000625.SZ,4.817,4.855,4.608,4.723,4.723,364374.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-20 日行情文本摘要,2020-01-20，000625A股交易日行情记录；开盘价4.82；最高价4.86；最低价4.61；收盘价4.72；成交量364374；按开盘价计算当日下跌1.95%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-21,000625.SZ,4.718,4.729,4.383,4.437,4.437,558397.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-21 日行情文本摘要,2020-01-21，000625A股交易日行情记录；开盘价4.72；最高价4.73；最低价4.38；收盘价4.44；成交量558397；按开盘价计算当日下跌5.96%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-22,000625.SZ,4.416,4.553,4.339,4.481,4.481,396687.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-22 日行情文本摘要,2020-01-22，000625A股交易日行情记录；开盘价4.42；最高价4.55；最低价4.34；收盘价4.48；成交量396687；按开盘价计算当日上涨1.47%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-23,000625.SZ,4.41,4.47,4.091,4.157,4.157,448647.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-01-23 日行情文本摘要,2020-01-23，000625A股交易日行情记录；开盘价4.41；最高价4.47；最低价4.09；收盘价4.16；成交量448647；按开盘价计算当日下跌5.74%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-01-24,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-25,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-26,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-27,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-28,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-29,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-30,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-01-31,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-02-01,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-02-02,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-02-03,000625.SZ,3.613,3.613,3.613,3.613,3.613,99142.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-03 日行情文本摘要,2020-02-03，000625A股交易日行情记录；开盘价3.61；最高价3.61；最低价3.61；收盘价3.61；成交量99142；按开盘价计算当日平收0.00%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日平收; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-04,000625.SZ,3.284,3.795,3.284,3.773,3.773,713391.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-04 日行情文本摘要,2020-02-04，000625A股交易日行情记录；开盘价3.28；最高价3.79；最低价3.28；收盘价3.77；成交量713391；按开盘价计算当日上涨14.89%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-05,000625.SZ,3.773,3.91,3.619,3.663,3.663,455179.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-05 日行情文本摘要,2020-02-05，000625A股交易日行情记录；开盘价3.77；最高价3.91；最低价3.62；收盘价3.66；成交量455179；按开盘价计算当日下跌2.92%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-06,000625.SZ,3.619,3.756,3.575,3.679,3.679,374932.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-06 日行情文本摘要,2020-02-06，000625A股交易日行情记录；开盘价3.62；最高价3.76；最低价3.58；收盘价3.68；成交量374932；按开盘价计算当日上涨1.66%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-07,000625.SZ,3.63,3.734,3.63,3.685,3.685,275139.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-07 日行情文本摘要,2020-02-07，000625A股交易日行情记录；开盘价3.63；最高价3.73；最低价3.63；收盘价3.69；成交量275139；按开盘价计算当日上涨1.52%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-08,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-02-09,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-02-10,000625.SZ,3.668,3.926,3.646,3.894,3.894,413467.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-10 日行情文本摘要,2020-02-10，000625A股交易日行情记录；开盘价3.67；最高价3.93；最低价3.65；收盘价3.89；成交量413467；按开盘价计算当日上涨6.16%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-11,000625.SZ,3.899,4.135,3.817,4.014,4.014,370800.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-11 日行情文本摘要,2020-02-11，000625A股交易日行情记录；开盘价3.9；最高价4.13；最低价3.82；收盘价4.01；成交量370800；按开盘价计算当日上涨2.95%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-12,000625.SZ,3.959,4.031,3.894,4.003,4.003,245473.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-12 日行情文本摘要,2020-02-12，000625A股交易日行情记录；开盘价3.96；最高价4.03；最低价3.89；收盘价4；成交量245473；按开盘价计算当日上涨1.11%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-13,000625.SZ,3.998,4.196,3.998,4.108,4.108,395464.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-13 日行情文本摘要,2020-02-13，000625A股交易日行情记录；开盘价4；最高价4.2；最低价4；收盘价4.11；成交量395464；按开盘价计算当日上涨2.75%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-14,000625.SZ,4.091,4.091,3.916,3.998,3.998,311510.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-14 日行情文本摘要,2020-02-14，000625A股交易日行情记录；开盘价4.09；最高价4.09；最低价3.92；收盘价4；成交量311510；按开盘价计算当日下跌2.27%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-15,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-02-16,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-02-17,000625.SZ,4.196,4.525,4.196,4.525,4.525,649298.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-17 日行情文本摘要,2020-02-17，000625A股交易日行情记录；开盘价4.2；最高价4.53；最低价4.2；收盘价4.53；成交量649298；按开盘价计算当日上涨7.84%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-18,000625.SZ,4.542,4.69,4.41,4.63,4.63,570280.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-18 日行情文本摘要,2020-02-18，000625A股交易日行情记录；开盘价4.54；最高价4.69；最低价4.41；收盘价4.63；成交量570280；按开盘价计算当日上涨1.94%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-19,000625.SZ,4.608,4.811,4.564,4.58,4.58,449129.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-19 日行情文本摘要,2020-02-19，000625A股交易日行情记录；开盘价4.61；最高价4.81；最低价4.56；收盘价4.58；成交量449129；按开盘价计算当日下跌0.61%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-20,000625.SZ,4.58,4.822,4.558,4.696,4.696,318235.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-20 日行情文本摘要,2020-02-20，000625A股交易日行情记录；开盘价4.58；最高价4.82；最低价4.56；收盘价4.7；成交量318235；按开盘价计算当日上涨2.53%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-21,000625.SZ,4.844,5.031,4.778,4.948,4.948,502581.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-21 日行情文本摘要,2020-02-21，000625A股交易日行情记录；开盘价4.84；最高价5.03；最低价4.78；收盘价4.95；成交量502581；按开盘价计算当日上涨2.15%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-22,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-02-23,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-02-24,000625.SZ,4.855,5.102,4.828,4.992,4.992,473531.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-24 日行情文本摘要,2020-02-24，000625A股交易日行情记录；开盘价4.86；最高价5.1；最低价4.83；收盘价4.99；成交量473531；按开盘价计算当日上涨2.82%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-25,000625.SZ,4.872,5.212,4.734,5.102,5.102,699896.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-25 日行情文本摘要,2020-02-25，000625A股交易日行情记录；开盘价4.87；最高价5.21；最低价4.73；收盘价5.1；成交量699896；按开盘价计算当日上涨4.72%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日上涨; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-26,000625.SZ,4.981,5.108,4.696,4.718,4.718,526101.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-26 日行情文本摘要,2020-02-26，000625A股交易日行情记录；开盘价4.98；最高价5.11；最低价4.7；收盘价4.72；成交量526101；按开盘价计算当日下跌5.28%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-27,000625.SZ,4.712,4.855,4.542,4.652,4.652,515413.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-27 日行情文本摘要,2020-02-27，000625A股交易日行情记录；开盘价4.71；最高价4.86；最低价4.54；收盘价4.65；成交量515413；按开盘价计算当日下跌1.27%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-28,000625.SZ,4.443,4.591,4.24,4.317,4.317,625169.0,,,tencent,625,SZSE,CNY,EQUITY,,,,,,1,000625 2020-02-28 日行情文本摘要,2020-02-28，000625A股交易日行情记录；开盘价4.44；最高价4.59；最低价4.24；收盘价4.32；成交量625169；按开盘价计算当日下跌2.84%；该条为程序根据当日OHLCV行情生成的文本补充，用于保证每日行情数据均有对应文本字段；不代表外部新闻报道。,程序生成行情文本摘要,,日行情文本摘要; 股交易日行情记录; 开盘价; 最高价; 最低价; 收盘价; 成交量; 按开盘价计算当日下跌; 该条为程序根据当日; ohlcv; 行情生成的文本补充; 用于保证每日行情数据均有对应文本字段,,,,
2020-02-29,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
2020-03-01,000625.SZ,,,,,,,,,,625,SZSE,CNY,EQUITY,,,,,,0,,,,,,,,,
