ticker,date,sentiment_score_proxy,method
000625.SZ,2025-07-23,-1.0,ensemble
000625.SZ,2025-07-24,1.0,ensemble
000625.SZ,2025-07-25,1.0,ensemble
000625.SZ,2025-07-28,1.0,ensemble
000625.SZ,2025-07-29,-1.0,ensemble
000625.SZ,2025-07-30,-1.0,ensemble
000625.SZ,2025-07-31,-1.0,ensemble
000625.SZ,2025-08-01,-1.0,ensemble
000625.SZ,2025-08-04,1.0,ensemble
000625.SZ,2025-08-05,1.0,ensemble
000625.SZ,2025-08-06,-1.0,ensemble
000625.SZ,2025-08-07,-1.0,ensemble
000625.SZ,2025-08-08,-1.0,ensemble
000625.SZ,2025-08-11,1.0,ensemble
000625.SZ,2025-08-12,-0.5,ensemble
000625.SZ,2025-08-13,-1.0,ensemble
000625.SZ,2025-08-14,-1.0,ensemble
000625.SZ,2025-08-15,1.0,ensemble
000625.SZ,2025-08-18,1.0,ensemble
000625.SZ,2025-08-19,-1.0,ensemble
000625.SZ,2025-08-20,1.0,ensemble
000625.SZ,2025-08-21,-1.0,ensemble
000625.SZ,2025-08-22,1.0,ensemble
000625.SZ,2025-08-25,-1.0,ensemble
000625.SZ,2025-08-26,-0.5,ensemble
000625.SZ,2025-08-27,-1.0,ensemble
000625.SZ,2025-08-28,-1.0,ensemble
000625.SZ,2025-08-29,-1.0,ensemble
000625.SZ,2025-09-01,-1.0,ensemble
000625.SZ,2025-09-02,-1.0,ensemble
000625.SZ,2025-09-03,-1.0,ensemble
000625.SZ,2025-09-04,1.0,ensemble
000625.SZ,2025-09-05,1.0,ensemble
000625.SZ,2025-09-08,-1.0,ensemble
000625.SZ,2025-09-09,1.0,ensemble
000625.SZ,2025-09-10,1.0,ensemble
000625.SZ,2025-09-11,1.0,ensemble
000625.SZ,2025-09-12,-1.0,ensemble
000625.SZ,2025-09-15,1.0,ensemble
000625.SZ,2025-09-16,-1.0,ensemble
000625.SZ,2025-09-17,1.0,ensemble
000625.SZ,2025-09-18,-1.0,ensemble
000625.SZ,2025-09-19,-1.0,ensemble
000625.SZ,2025-09-22,-1.0,ensemble
000625.SZ,2025-09-23,-1.0,ensemble
000625.SZ,2025-09-24,1.0,ensemble
000625.SZ,2025-09-25,-1.0,ensemble
000625.SZ,2025-09-26,1.0,ensemble
000625.SZ,2025-09-29,-1.0,ensemble
000625.SZ,2025-09-30,1.0,ensemble
000625.SZ,2025-10-09,1.0,ensemble
000625.SZ,2025-10-10,1.0,ensemble
000625.SZ,2025-10-13,1.0,ensemble
000625.SZ,2025-10-14,1.0,ensemble
000625.SZ,2025-10-15,1.0,ensemble
000625.SZ,2025-10-16,1.0,ensemble
000625.SZ,2025-10-17,-1.0,ensemble
000625.SZ,2025-10-20,-1.0,ensemble
000625.SZ,2025-10-21,1.0,ensemble
000625.SZ,2025-10-22,1.0,ensemble
000625.SZ,2025-10-23,1.0,ensemble
000625.SZ,2025-10-24,1.0,ensemble
000625.SZ,2025-10-27,0.0,ensemble
000625.SZ,2025-10-28,0.5,ensemble
000625.SZ,2025-10-29,-0.5,ensemble
000625.SZ,2025-10-30,0.0,ensemble
000625.SZ,2025-10-31,-0.5,ensemble
000625.SZ,2025-11-01,1.0,ensemble
000625.SZ,2025-11-02,1.0,ensemble
000625.SZ,2025-11-03,-0.3333333333333333,ensemble
000625.SZ,2025-11-04,-0.3333333333333333,ensemble
000625.SZ,2025-11-05,-0.16666666666666666,ensemble
000625.SZ,2025-11-06,-0.3333333333333333,ensemble
000625.SZ,2025-11-07,-0.16666666666666666,ensemble
000625.SZ,2025-11-10,0.25,ensemble
000625.SZ,2025-11-11,0.0,ensemble
000625.SZ,2025-11-12,0.0,ensemble
000625.SZ,2025-11-13,0.4166666666666667,ensemble
000625.SZ,2025-11-14,0.16666666666666666,ensemble
000625.SZ,2025-11-17,0.3333333333333333,ensemble
000625.SZ,2025-11-18,0.0,ensemble
000625.SZ,2025-11-19,0.5,ensemble
000625.SZ,2025-11-20,-0.6666666666666666,ensemble
000625.SZ,2025-11-21,-0.3333333333333333,ensemble
000625.SZ,2025-11-23,0.0,ensemble
000625.SZ,2025-11-24,0.0,ensemble
000625.SZ,2025-11-25,-0.4,ensemble
000625.SZ,2025-11-26,-0.5,ensemble
000625.SZ,2025-11-27,0.0,ensemble
000625.SZ,2025-11-28,0.08333333333333333,ensemble
000625.SZ,2025-11-29,-0.5,ensemble
000625.SZ,2025-11-30,0.0,ensemble
000625.SZ,2025-12-01,0.07142857142857142,ensemble
000625.SZ,2025-12-02,0.3333333333333333,ensemble
000625.SZ,2025-12-03,0.3333333333333333,ensemble
000625.SZ,2025-12-04,0.3333333333333333,ensemble
000625.SZ,2025-12-05,0.1,ensemble
000625.SZ,2025-12-08,0.0,ensemble
000625.SZ,2025-12-09,0.0,ensemble
000625.SZ,2025-12-10,0.0,ensemble
000625.SZ,2025-12-11,-0.25,ensemble
000625.SZ,2025-12-12,0.0,ensemble
000625.SZ,2025-12-13,0.0,ensemble
000625.SZ,2025-12-14,0.0,ensemble
000625.SZ,2025-12-15,0.0,ensemble
000625.SZ,2025-12-16,0.0,ensemble
000625.SZ,2025-12-17,-0.125,ensemble
000625.SZ,2025-12-18,0.0,ensemble
000625.SZ,2025-12-19,0.0,ensemble
000625.SZ,2025-12-21,0.0,ensemble
000625.SZ,2025-12-22,0.0,ensemble
000625.SZ,2025-12-23,0.0,ensemble
000625.SZ,2025-12-24,0.0,ensemble
000625.SZ,2025-12-25,0.2,ensemble
000625.SZ,2025-12-26,0.0,ensemble
000625.SZ,2025-12-29,0.4,ensemble
000625.SZ,2025-12-30,0.05555555555555555,ensemble
000625.SZ,2025-12-31,0.0,ensemble
000625.SZ,2026-01-04,0.5,ensemble
000625.SZ,2026-01-05,0.0,ensemble
000625.SZ,2026-01-06,0.0,ensemble
000625.SZ,2026-01-07,-0.3333333333333333,ensemble
000625.SZ,2026-01-08,0.0,ensemble
000625.SZ,2026-01-09,0.0,ensemble
000625.SZ,2026-01-11,0.0,ensemble
000625.SZ,2026-01-12,1.0,ensemble
000625.SZ,2026-01-13,-1.0,ensemble
000625.SZ,2026-01-14,0.0,ensemble
000625.SZ,2026-01-15,-1.0,ensemble
000625.SZ,2026-01-16,0.6666666666666666,ensemble
000625.SZ,2026-01-17,0.0,ensemble
000625.SZ,2026-01-19,0.0,ensemble
000625.SZ,2026-01-20,0.0,ensemble
000625.SZ,2026-01-21,0.0,ensemble
000625.SZ,2026-01-22,0.0,ensemble
000625.SZ,2026-01-23,0.0,ensemble
000625.SZ,2026-01-24,0.0,ensemble
000625.SZ,2026-01-26,0.0,ensemble
000625.SZ,2026-01-27,0.25,ensemble
000625.SZ,2026-01-28,0.0,ensemble
000625.SZ,2026-01-29,0.5,ensemble
000625.SZ,2026-01-30,0.0,ensemble
000625.SZ,2026-02-02,0.0,ensemble
000625.SZ,2026-02-03,0.0,ensemble
000625.SZ,2026-02-04,0.4166666666666667,ensemble
000625.SZ,2026-02-05,0.7142857142857143,ensemble
000625.SZ,2026-02-06,1.0,ensemble
000625.SZ,2026-02-09,0.0,ensemble
000625.SZ,2026-02-10,0.5,ensemble
000625.SZ,2026-02-11,0.0,ensemble
000625.SZ,2026-02-12,0.0,ensemble
000625.SZ,2026-02-13,0.0,ensemble
000625.SZ,2026-02-14,0.0,ensemble
000625.SZ,2026-02-24,0.5,ensemble
000625.SZ,2026-02-25,-0.16666666666666666,ensemble
000625.SZ,2026-02-26,0.0,ensemble
000625.SZ,2026-02-27,1.0,ensemble
000625.SZ,2026-03-01,1.0,ensemble
000625.SZ,2026-03-02,0.55,ensemble
000625.SZ,2026-03-03,0.2727272727272727,ensemble
000625.SZ,2026-03-04,0.0,ensemble
000625.SZ,2026-03-05,-1.0,ensemble
000625.SZ,2026-03-06,0.0,ensemble
000625.SZ,2026-03-07,0.0,ensemble
000625.SZ,2026-03-09,-1.0,ensemble
000625.SZ,2026-03-10,-1.0,ensemble
000625.SZ,2026-03-11,-1.0,ensemble
000625.SZ,2026-03-12,0.0,ensemble
000625.SZ,2026-03-13,0.0,ensemble
000625.SZ,2026-03-14,0.0,ensemble
000625.SZ,2026-03-16,0.0,ensemble
000625.SZ,2026-03-17,0.3333333333333333,ensemble
000625.SZ,2026-03-18,0.0,ensemble
000625.SZ,2026-03-19,0.5,ensemble
000625.SZ,2026-03-20,0.047619047619047616,ensemble
000625.SZ,2026-03-22,0.0,ensemble
000625.SZ,2026-03-23,0.0,ensemble
000625.SZ,2026-03-24,0.0,ensemble
000625.SZ,2026-03-25,0.25,ensemble
000625.SZ,2026-03-26,-1.0,ensemble
000625.SZ,2026-03-27,0.0,ensemble
000625.SZ,2026-03-30,-1.0,ensemble
000625.SZ,2026-03-31,-0.5,ensemble
000625.SZ,2026-04-01,-0.6666666666666666,ensemble
000625.SZ,2026-04-02,0.1,ensemble
000625.SZ,2026-04-03,0.2,ensemble
000625.SZ,2026-04-07,0.0,ensemble
000625.SZ,2026-04-08,0.0,ensemble
000625.SZ,2026-04-09,0.0,ensemble
000625.SZ,2026-04-10,0.4444444444444444,ensemble
000625.SZ,2026-04-11,0.034482758620689655,ensemble
000625.SZ,2026-04-12,0.3333333333333333,ensemble
000625.SZ,2026-04-13,0.2459016393442623,ensemble
000625.SZ,2026-04-14,0.26875,ensemble
000625.SZ,2026-04-15,0.16911764705882354,ensemble
000625.SZ,2026-04-16,0.32967032967032966,ensemble
000625.SZ,2026-04-17,0.1328125,ensemble
000625.SZ,2026-04-18,0.6,ensemble
000625.SZ,2026-04-19,0.26785714285714285,ensemble
000625.SZ,2026-04-20,0.226890756302521,ensemble
000625.SZ,2026-04-21,0.16071428571428573,ensemble
000625.SZ,2026-04-22,0.16203703703703703,ensemble
